Run Model Entity Position Sim
1 7 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.91
2 7 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 6 0.93
2 7 en.wikipedia.org/wiki..Themistocles.txt 50 0.855
2 7 en.wikipedia.org/wiki..Thespiae.txt 115 0.802
2 7 en.wikipedia.org/wiki..Sparta.txt 210 0.722
2 7 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.93
2 7 en.wikipedia.org/wiki..Darius_I.txt 77 0.828
2 7 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.908
2 7 en.wikipedia.org/wiki..Xerxes_I.txt 53 0.853
2 7 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 63 0.841
2 7 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.917
3 7 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.937
3 7 en.wikipedia.org/wiki..Themistocles.txt 37 0.87
3 7 en.wikipedia.org/wiki..Thespiae.txt 130 0.782
3 7 en.wikipedia.org/wiki..Sparta.txt 253 0.686
3 7 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.925
3 7 en.wikipedia.org/wiki..Darius_I.txt 82 0.827
3 7 en.wikipedia.org/wiki..Leonidas_I.txt 16 0.903
3 7 en.wikipedia.org/wiki..Xerxes_I.txt 52 0.851
